Dates,Volume
27/9/04,356979
28/9/04,438974
29/9/04,493431
30/9/04,469491
1/10/04,396911
4/10/04,174536
5/10/04,430345
6/10/04,495060
7/10/04,553020
8/10/04,458661
11/10/04,485205
12/10/04,543930
13/10/04,596861
14/10/04,750126
15/10/04,530433
18/10/04,393661
19/10/04,462741
20/10/04,579084
21/10/04,552445
22/10/04,534744
25/10/04,541378
26/10/04,792431
27/10/04,681935
28/10/04,676269
29/10/04,813620
1/11/04,363959
2/11/04,346251
3/11/04,789507
4/11/04,538250
5/11/04,544851
8/11/04,368834
9/11/04,494143
10/11/04,470327
11/11/04,422139
12/11/04,516401
15/11/04,358246
16/11/04,488239
17/11/04,455700
18/11/04,602520
19/11/04,407951
22/11/04,429913
23/11/04,521580
24/11/04,512055
25/11/04,514424
26/11/04,511541
29/11/04,351840
30/11/04,501301
1/12/04,554716
2/12/04,446351
3/12/04,399121
6/12/04,332411
7/12/04,456087
8/12/04,524487
9/12/04,464171
10/12/04,634949
14/12/04,448558
15/12/04,359899
16/12/04,595729
20/12/04,330124
21/12/04,349046
22/12/04,388088
23/12/04,306134
24/12/04,475937
29/12/04,136177
30/12/04,119119
31/12/04,121150
4/1/05,199336
5/1/05,329030
6/1/05,397297
7/1/05,309120
10/1/05,304711
11/1/05,412992
12/1/05,365205
13/1/05,434115
14/1/05,375569
17/1/05,339384
18/1/05,446931
19/1/05,452118
20/1/05,374818
21/1/05,301833
24/1/05,331492
25/1/05,388167
27/1/05,451657
28/1/05,615802
31/1/05,403157
1/2/05,432866
2/2/05,571773
3/2/05,585603
4/2/05,524907
7/2/05,401649
8/2/05,504502
9/2/05,426414
10/2/05,464426
11/2/05,418603
14/2/05,661246
15/2/05,470395
16/2/05,504135
17/2/05,481968
18/2/05,449581
21/2/05,360929
22/2/05,457007
23/2/05,559996
24/2/05,549769
25/2/05,675824
28/2/05,472165
1/3/05,488476
2/3/05,491008
3/3/05,470008
4/3/05,395227
7/3/05,334471
8/3/05,444851
9/3/05,604328
10/3/05,469442
11/3/05,485190
14/3/05,349539
15/3/05,369336
16/3/05,510876
17/3/05,544290
18/3/05,516139
21/3/05,371763
22/3/05,527150
23/3/05,520783
24/3/05,567669
29/3/05,422222
30/3/05,538026
31/3/05,511375
1/4/05,416306
4/4/05,377931
5/4/05,466127
6/4/05,480395
7/4/05,350397
8/4/05,393963
11/4/05,297946
12/4/05,335640
13/4/05,463190
14/4/05,432845
15/4/05,626608
18/4/05,490093
19/4/05,476535
20/4/05,600513
21/4/05,449336
22/4/05,507611
26/4/05,446226
27/4/05,426267
28/4/05,450029
29/4/05,625772
3/5/05,417472
4/5/05,559959
5/5/05,522562
6/5/05,448772
9/5/05,386676
10/5/05,556799
11/5/05,394677
12/5/05,490073
13/5/05,406553
16/5/05,370585
17/5/05,472276
18/5/05,462221
19/5/05,500243
20/5/05,438865
23/5/05,411827
24/5/05,554708
25/5/05,441576
26/5/05,443372
27/5/05,560179
30/5/05,320076
31/5/05,853189
1/6/05,619695
2/6/05,550244
3/6/05,531994
6/6/05,418699
7/6/05,452554
